vendor ID,vendor name,category,subcategory,strategy,refinery,additional comments,owner name
V00029,Emerson Electric Co.,Signal Conditioning,Filters,Framework agreement for multi-site supply,Whiting Refinery,Critical for process safety; ensure regular calibration.,Megan Chen
V00030,WIKA Instrument,Level Instruments,Ultrasonic Level Sensors,Risk mitigation through multi-year contracts,Port Arthur Refinery,Compliance with API and ASTM standards is mandatory.,Aisha Patel
V00031,Valmet,Vibration Measurement Instruments,Accelerometers,Bulk purchasing for volume discounts,Baton Rouge Refinery,Compliance with API and ASTM standards is mandatory.,Megan Chen
V00032,ABB Ltd.,Flow Instruments,Ultrasonic Flow Meters,Dual sourcing with local backup vendor,Baton Rouge Refinery,Equipment is subject to harsh conditions; require rugged design.,Carlos Fernandez
V00033,VEGA Grieshaber,Level Instruments,Ultrasonic Level Sensors,Leveraging spend for volume discounts,Port Arthur Refinery,Requires high accuracy; consider upgrading to digital models.,Aisha Patel
V00034,Omega Engineering,Level Instruments,Radar Level Sensors,Supplier development and collaboration,Baton Rouge Refinery,Select based on life-cycle cost rather than upfront price.,Megan Chen
V00035,Agilent Technologies,Test & Measurement Equipment,Data Acquisition Systems,Sustainability and green procurement focus,Whiting Refinery,Consider energy efficiency and sustainability in selection.,Aisha Patel
V00036,Endress+Hauser,Control Valves,Needle Valves,Sustainability and green procurement focus,Port Arthur Refinery,Vendor provides robust after-sales support and technical training.,Megan Chen
V00037,General Electric (GE),Level Instruments,Radar Level Sensors,Sustainability and green procurement focus,Baton Rouge Refinery,Preference for suppliers with local service centers.,Lena Müller
V00038,Siemens AG,Signal Conditioning,Signal Converters,On-site vendor support and training,Baton Rouge Refinery,Include remote monitoring capabilities and IoT integration.,Carlos Fernandez
V00039,Hach Company,Signal Conditioning,Filters,Life-cycle cost evaluation and optimization,Whiting Refinery,Compliance with API and ASTM standards is mandatory.,Lena Müller
V00040,Endress+Hauser Group,Safety Instruments,Safety Valves,Standardization and bundling of similar items,Whiting Refinery,Include remote monitoring capabilities and IoT integration.,Rahul Iyer
V00041,Honeywell International,Test & Measurement Equipment,Data Acquisition Systems,Performance-based maintenance contract,Martinez Refinery,Long lead times expected; maintain minimum stock levels.,Megan Chen
V00042,"Siemens Industry, Inc.",Temperature Instruments,Thermocouples,Supplier development and collaboration,Baton Rouge Refinery,Select based on life-cycle cost rather than upfront price.,Rahul Iyer
V00043,Honeywell International,Flow Instruments,Magnetic Flow Meters,Technology upgrade and digitalization program,Martinez Refinery,High criticality; maintain redundancy and spare parts inventory.,Carlos Fernandez
V00044,Agilent Technologies,Analytical Instruments,Dissolved Oxygen Meters,Framework agreement for multi-site supply,Port Arthur Refinery,Select based on life-cycle cost rather than upfront price.,Aisha Patel
V00045,Endress+Hauser Group,Pressure Instruments,Pressure Transmitters,Framework agreement for multi-site supply,Martinez Refinery,Vendor provides robust after-sales support and technical training.,Megan Chen
V00046,Rohde & Schwarz,Test & Measurement Equipment,Function Generators,Long-term partnership with global supplier,Martinez Refinery,Vendor to assist with installation and commissioning.,Rahul Iyer
V00047,Rohde & Schwarz,Analytical Instruments,Dissolved Oxygen Meters,Long-term partnership with global supplier,Martinez Refinery,Part of plant modernization project; coordinate with engineering.,Carlos Fernandez
V00048,Fluke Corporation,Flow Instruments,Magnetic Flow Meters,Risk mitigation through multi-year contracts,Baton Rouge Refinery,Maintain alignment with corporate purchasing agreements.,Megan Chen
V00049,Kistler Group,Vibration Measurement Instruments,Portable Vibrometers,Life-cycle cost evaluation and optimization,Martinez Refinery,Include remote monitoring capabilities and IoT integration.,Carlos Fernandez
V00050,General Electric (GE),Signal Conditioning,Transmitters,Standardization and bundling of similar items,Baton Rouge Refinery,Preference for suppliers with local service centers.,Rahul Iyer
V00051,Fluke Corporation,Control Valves,Needle Valves,Bulk purchasing for volume discounts,Whiting Refinery,Vendor to assist with installation and commissioning.,Aisha Patel
V00052,Kistler Instruments,Control Valves,Ball Valves,Leveraging spend for volume discounts,Baytown Refinery,Vendor to assist with installation and commissioning.,Carlos Fernandez
V00053,KROHNE,Level Instruments,Ultrasonic Level Sensors,Framework agreement for multi-site supply,Whiting Refinery,Ensure compatibility with existing control system infrastructure.,Rahul Iyer
V00054,Hach Company,Temperature Instruments,Thermistors,Sustainability and green procurement focus,Baytown Refinery,Ensure compatibility with existing control system infrastructure.,Aisha Patel
V00055,Endress+Hauser Group,Vibration Measurement Instruments,Portable Vibrometers,Risk mitigation through multi-year contracts,Baytown Refinery,Select based on life-cycle cost rather than upfront price.,Lena Müller
V00056,ABB Ltd.,Temperature Instruments,Thermocouples,Leveraging spend for volume discounts,Baton Rouge Refinery,Preference for suppliers with local service centers.,Rahul Iyer
V00057,Yokogawa Corporation,Control Valves,Globe Valves,Supplier development and collaboration,Port Arthur Refinery,Consider energy efficiency and sustainability in selection.,Lena Müller
V00058,Kistler Instruments,Level Instruments,Capacitance Level Sensors,On-site vendor support and training,Baytown Refinery,Include remote monitoring capabilities and IoT integration.,Megan Chen
V00059,Kistler Group,Signal Conditioning,Transmitters,Sustainability and green procurement focus,Whiting Refinery,Critical for process safety; ensure regular calibration.,Aisha Patel
V00060,Endress+Hauser Group,Safety Instruments,Fire & Gas Detectors,Life-cycle cost evaluation and optimization,Baytown Refinery,Equipment is subject to harsh conditions; require rugged design.,Megan Chen
V00061,Mettler-Toledo,Test & Measurement Equipment,Data Acquisition Systems,On-site vendor support and training,Baytown Refinery,Requires high accuracy; consider upgrading to digital models.,Aisha Patel
V00062,Agilent Technologies,Signal Conditioning,Transmitters,Risk mitigation through multi-year contracts,Martinez Refinery,Part of plant modernization project; coordinate with engineering.,Carlos Fernandez
V00063,Agilent Technologies,Test & Measurement Equipment,Oscilloscopes,Long-term partnership with global supplier,Martinez Refinery,Critical for process safety; ensure regular calibration.,Aisha Patel
V00064,Omega Engineering,Temperature Instruments,Thermocouples,Consignment stock and vendor-managed inventory,Port Arthur Refinery,Ensure compatibility with existing control system infrastructure.,Lena Müller
V00065,Dräger Safety,Flow Instruments,Turbine Flow Meters,Sustainability and green procurement focus,Martinez Refinery,Compliance with API and ASTM standards is mandatory.,Rahul Iyer
V00066,National Instruments,Flow Instruments,Mass Flow Meters,Sustainability and green procurement focus,Martinez Refinery,Part of plant modernization project; coordinate with engineering.,Aisha Patel
V00067,Dräger Safety,Analytical Instruments,Spectrophotometers,Performance-based maintenance contract,Port Arthur Refinery,Preference for suppliers with local service centers.,Aisha Patel
V00068,Rohde & Schwarz,Signal Conditioning,Transmitters,Leveraging spend for volume discounts,Martinez Refinery,Include remote monitoring capabilities and IoT integration.,Carlos Fernandez
V00069,Fisher Controls (Emerson),Test & Measurement Equipment,Oscilloscopes,Leveraging spend for volume discounts,Port Arthur Refinery,Maintain alignment with corporate purchasing agreements.,Aisha Patel
V00070,ABB Ltd.,Vibration Measurement Instruments,Vibration Sensors,Spend analysis and cost optimization,Port Arthur Refinery,Part of plant modernization project; coordinate with engineering.,Aisha Patel
V00071,Keysight Technologies,Level Instruments,Capacitance Level Sensors,Long-term partnership with global supplier,Whiting Refinery,Long lead times expected; maintain minimum stock levels.,Megan Chen
V00072,Yokogawa Electric Corporation,Flow Instruments,Turbine Flow Meters,Supplier development and collaboration,Martinez Refinery,Maintain alignment with corporate purchasing agreements.,Megan Chen
V00073,Rohde & Schwarz,Signal Conditioning,Transmitters,Leveraging spend for volume discounts,Port Arthur Refinery,Long lead times expected; maintain minimum stock levels.,Aisha Patel
V00074,Siemens AG,Pressure Instruments,Differential Pressure Transmitters,Risk mitigation through multi-year contracts,Port Arthur Refinery,Consider energy efficiency and sustainability in selection.,Lena Müller
V00075,Rohde & Schwarz,Vibration Measurement Instruments,Vibration Analyzers,Sustainability and green procurement focus,Whiting Refinery,Long lead times expected; maintain minimum stock levels.,Megan Chen
V00076,General Electric (GE),Analytical Instruments,Dissolved Oxygen Meters,Performance-based maintenance contract,Port Arthur Refinery,High criticality; maintain redundancy and spare parts inventory.,Carlos Fernandez
V00077,Endress+Hauser,Vibration Measurement Instruments,Portable Vibrometers,Performance-based maintenance contract,Baytown Refinery,Critical for process safety; ensure regular calibration.,Lena Müller
V00078,Kistler Group,Flow Instruments,Magnetic Flow Meters,Dual sourcing with local backup vendor,Baton Rouge Refinery,Ensure compatibility with existing control system infrastructure.,Aisha Patel
V00079,Siemens AG,Pressure Instruments,Pressure Gauges,Supplier development and collaboration,Baton Rouge Refinery,Compliance with API and ASTM standards is mandatory.,Lena Müller
V00080,Yokogawa Electric Corporation,Level Instruments,Ultrasonic Level Sensors,Consignment stock and vendor-managed inventory,Baton Rouge Refinery,Preference for suppliers with local service centers.,Megan Chen
V00081,Endress+Hauser,Test & Measurement Equipment,Digital Multimeters,Spend analysis and cost optimization,Baytown Refinery,Preference for suppliers with local service centers.,Aisha Patel
V00082,KROHNE,Test & Measurement Equipment,Function Generators,Sustainability and green procurement focus,Port Arthur Refinery,High criticality; maintain redundancy and spare parts inventory.,Carlos Fernandez
V00083,Fluke Corporation,Safety Instruments,Safety Valves,Technology upgrade and digitalization program,Port Arthur Refinery,Consider energy efficiency and sustainability in selection.,Lena Müller
V00084,General Electric (GE),Safety Instruments,Fire & Gas Detectors,Life-cycle cost evaluation and optimization,Baton Rouge Refinery,Select based on life-cycle cost rather than upfront price.,Rahul Iyer
V00085,Fluke Corporation,Test & Measurement Equipment,Oscilloscopes,Performance-based maintenance contract,Martinez Refinery,Include remote monitoring capabilities and IoT integration.,Carlos Fernandez
V00086,Hach Company,Level Instruments,Radar Level Sensors,Leveraging spend for volume discounts,Port Arthur Refinery,Critical for process safety; ensure regular calibration.,Lena Müller
V00087,KROHNE,Safety Instruments,Emergency Shutdown Systems,Life-cycle cost evaluation and optimization,Baton Rouge Refinery,Maintain alignment with corporate purchasing agreements.,Lena Müller
V00088,Emerson Electric Co.,Level Instruments,Radar Level Sensors,Life-cycle cost evaluation and optimization,Baton Rouge Refinery,Select based on life-cycle cost rather than upfront price.,Megan Chen
V00089,Yokogawa Corporation of America,Safety Instruments,Gas Detectors,Technology upgrade and digitalization program,Port Arthur Refinery,Ensure compatibility with existing control system infrastructure.,Carlos Fernandez
V00090,Rohde & Schwarz,Level Instruments,Radar Level Sensors,Risk mitigation through multi-year contracts,Port Arthur Refinery,Ensure compatibility with existing control system infrastructure.,Megan Chen
V00091,Fluke Corporation,Control Valves,Ball Valves,Technology upgrade and digitalization program,Baton Rouge Refinery,Include remote monitoring capabilities and IoT integration.,Carlos Fernandez
V00092,Endress+Hauser,Vibration Measurement Instruments,Vibration Analyzers,Sustainability and green procurement focus,Baytown Refinery,Maintain alignment with corporate purchasing agreements.,Carlos Fernandez
V00093,Kistler Instruments,Flow Instruments,Turbine Flow Meters,Framework agreement for multi-site supply,Baton Rouge Refinery,Vendor to assist with installation and commissioning.,Rahul Iyer
V00094,Kistler Group,Safety Instruments,Gas Detectors,Standardization and bundling of similar items,Baytown Refinery,Select based on life-cycle cost rather than upfront price.,Rahul Iyer
V00095,Kistler Group,Signal Conditioning,Transmitters,Spend analysis and cost optimization,Whiting Refinery,Compliance with API and ASTM standards is mandatory.,Lena Müller
V00096,KROHNE,Analytical Instruments,Spectrophotometers,Dual sourcing with local backup vendor,Baytown Refinery,Compliance with API and ASTM standards is mandatory.,Lena Müller
V00097,Schneider Electric,Signal Conditioning,Transmitters,Technology upgrade and digitalization program,Whiting Refinery,Requires high accuracy; consider upgrading to digital models.,Aisha Patel
V00098,Kistler Group,Level Instruments,Radar Level Sensors,Leveraging spend for volume discounts,Baytown Refinery,Vendor provides robust after-sales support and technical training.,Aisha Patel
V00099,Dräger Safety,Analytical Instruments,Conductivity Meters,Framework agreement for multi-site supply,Martinez Refinery,Critical for process safety; ensure regular calibration.,Aisha Patel
V00100,Rockwell Automation,Control Valves,Butterfly Valves,Risk mitigation through multi-year contracts,Port Arthur Refinery,Preference for suppliers with local service centers.,Carlos Fernandez
V00101,National Instruments,Test & Measurement Equipment,Function Generators,Framework agreement for multi-site supply,Baton Rouge Refinery,Select based on life-cycle cost rather than upfront price.,Lena Müller
V00102,Kistler Instruments,Temperature Instruments,RTDs,Technology upgrade and digitalization program,Baytown Refinery,Compliance with API and ASTM standards is mandatory.,Megan Chen
V00103,Honeywell International,Vibration Measurement Instruments,Vibration Analyzers,Technology upgrade and digitalization program,Port Arthur Refinery,Vendor provides robust after-sales support and technical training.,Aisha Patel
V00104,Valmet,Pressure Instruments,Pressure Transmitters,Framework agreement for multi-site supply,Baytown Refinery,Part of plant modernization project; coordinate with engineering.,Rahul Iyer
V00105,Mettler-Toledo,Pressure Instruments,Differential Pressure Transmitters,On-site vendor support and training,Baton Rouge Refinery,Vendor provides robust after-sales support and technical training.,Megan Chen
V00106,Emerson Electric Co.,Signal Conditioning,Signal Converters,Long-term partnership with global supplier,Baton Rouge Refinery,Select based on life-cycle cost rather than upfront price.,Megan Chen
V00107,Endress+Hauser,Vibration Measurement Instruments,Accelerometers,Spend analysis and cost optimization,Baton Rouge Refinery,Long lead times expected; maintain minimum stock levels.,Aisha Patel
V00108,Mettler-Toledo,Temperature Instruments,Infrared Sensors,Life-cycle cost evaluation and optimization,Baton Rouge Refinery,Part of plant modernization project; coordinate with engineering.,Aisha Patel
V00109,Siemens AG,Signal Conditioning,Filters,Technology upgrade and digitalization program,Whiting Refinery,Consider energy efficiency and sustainability in selection.,Aisha Patel
V00110,Schneider Electric,Vibration Measurement Instruments,Vibration Analyzers,Sustainability and green procurement focus,Baytown Refinery,Equipment is subject to harsh conditions; require rugged design.,Megan Chen
V00111,Bruker Corporation,Test & Measurement Equipment,Digital Multimeters,Supplier development and collaboration,Whiting Refinery,Preference for suppliers with local service centers.,Carlos Fernandez
V00112,WIKA Instrument,Temperature Instruments,Thermocouples,Long-term partnership with global supplier,Martinez Refinery,Preference for suppliers with local service centers.,Megan Chen
V00113,Emerson Electric Co.,Control Valves,Needle Valves,Dual sourcing with local backup vendor,Baytown Refinery,Include remote monitoring capabilities and IoT integration.,Megan Chen
V00114,National Instruments,Signal Conditioning,Transmitters,Long-term partnership with global supplier,Baton Rouge Refinery,Ensure compatibility with existing control system infrastructure.,Lena Müller
V00115,Emerson Electric Co.,Analytical Instruments,Conductivity Meters,On-site vendor support and training,Port Arthur Refinery,High criticality; maintain redundancy and spare parts inventory.,Aisha Patel
V00116,KROHNE,Test & Measurement Equipment,Digital Multimeters,On-site vendor support and training,Port Arthur Refinery,Maintain alignment with corporate purchasing agreements.,Aisha Patel
V00117,Omega Engineering,Pressure Instruments,Differential Pressure Transmitters,Long-term partnership with global supplier,Whiting Refinery,Requires high accuracy; consider upgrading to digital models.,Carlos Fernandez
V00118,VEGA Grieshaber,Analytical Instruments,pH Meters,Performance-based maintenance contract,Baton Rouge Refinery,Long lead times expected; maintain minimum stock levels.,Megan Chen
V00119,Emerson Electric Co.,Signal Conditioning,Filters,Supplier development and collaboration,Martinez Refinery,Critical for process safety; ensure regular calibration.,Carlos Fernandez
V00120,Bruker Corporation,Pressure Instruments,Pressure Gauges,Spend analysis and cost optimization,Baytown Refinery,Vendor provides robust after-sales support and technical training.,Carlos Fernandez
V00121,WIKA Instrument,Pressure Instruments,Pressure Transmitters,Leveraging spend for volume discounts,Whiting Refinery,Vendor to assist with installation and commissioning.,Rahul Iyer
V00122,Hach Company,Safety Instruments,Safety Valves,Performance-based maintenance contract,Baton Rouge Refinery,Vendor provides robust after-sales support and technical training.,Aisha Patel
V00123,Honeywell International,Pressure Instruments,Pressure Transmitters,Technology upgrade and digitalization program,Martinez Refinery,Requires high accuracy; consider upgrading to digital models.,Rahul Iyer
V00124,Schneider Electric,Pressure Instruments,Pressure Switches,Performance-based maintenance contract,Martinez Refinery,Include remote monitoring capabilities and IoT integration.,Lena Müller
V00125,KROHNE,Signal Conditioning,Filters,Risk mitigation through multi-year contracts,Whiting Refinery,High criticality; maintain redundancy and spare parts inventory.,Rahul Iyer
V00126,National Instruments,Signal Conditioning,Signal Converters,Standardization and bundling of similar items,Baton Rouge Refinery,Select based on life-cycle cost rather than upfront price.,Carlos Fernandez
V00127,Endress+Hauser,Pressure Instruments,Pressure Gauges,Performance-based maintenance contract,Port Arthur Refinery,Vendor to assist with installation and commissioning.,Lena Müller
V00128,Agilent Technologies,Level Instruments,Ultrasonic Level Sensors,Life-cycle cost evaluation and optimization,Baytown Refinery,Maintain alignment with corporate purchasing agreements.,Carlos Fernandez
V00129,Honeywell International,Vibration Measurement Instruments,Vibration Sensors,Life-cycle cost evaluation and optimization,Whiting Refinery,Consider energy efficiency and sustainability in selection.,Rahul Iyer
V00130,"Siemens Industry, Inc.",Flow Instruments,Turbine Flow Meters,On-site vendor support and training,Baton Rouge Refinery,Include remote monitoring capabilities and IoT integration.,Megan Chen
V00131,Fisher Controls (Emerson),Level Instruments,Radar Level Sensors,Consignment stock and vendor-managed inventory,Baton Rouge Refinery,Preference for suppliers with local service centers.,Megan Chen
V00132,Fluke Corporation,Control Valves,Needle Valves,Standardization and bundling of similar items,Martinez Refinery,Preference for suppliers with local service centers.,Rahul Iyer
V00133,Fisher Controls (Emerson),Pressure Instruments,Pressure Transmitters,Life-cycle cost evaluation and optimization,Martinez Refinery,Critical for process safety; ensure regular calibration.,Rahul Iyer
V00134,Rohde & Schwarz,Safety Instruments,Fire & Gas Detectors,Long-term partnership with global supplier,Baytown Refinery,Compliance with API and ASTM standards is mandatory.,Aisha Patel
V00135,Keysight Technologies,Level Instruments,Capacitance Level Sensors,Life-cycle cost evaluation and optimization,Port Arthur Refinery,Long lead times expected; maintain minimum stock levels.,Aisha Patel
V00136,ABB Ltd.,Test & Measurement Equipment,Function Generators,Long-term partnership with global supplier,Whiting Refinery,Vendor provides robust after-sales support and technical training.,Rahul Iyer
V00137,Rohde & Schwarz,Control Valves,Globe Valves,Sustainability and green procurement focus,Martinez Refinery,Include remote monitoring capabilities and IoT integration.,Aisha Patel
V00138,Yokogawa Electric Corporation,Flow Instruments,Turbine Flow Meters,Spend analysis and cost optimization,Whiting Refinery,Requires high accuracy; consider upgrading to digital models.,Aisha Patel
V00139,Agilent Technologies,Analytical Instruments,Spectrophotometers,Sustainability and green procurement focus,Baton Rouge Refinery,Preference for suppliers with local service centers.,Carlos Fernandez
V00140,Bruker Corporation,Flow Instruments,Turbine Flow Meters,Standardization and bundling of similar items,Baton Rouge Refinery,High criticality; maintain redundancy and spare parts inventory.,Megan Chen
V00141,Endress+Hauser,Safety Instruments,Fire & Gas Detectors,Supplier development and collaboration,Martinez Refinery,Critical for process safety; ensure regular calibration.,Aisha Patel
V00142,KROHNE,Signal Conditioning,Amplifiers,Leveraging spend for volume discounts,Martinez Refinery,Select based on life-cycle cost rather than upfront price.,Rahul Iyer
V00143,Keysight Technologies,Vibration Measurement Instruments,Accelerometers,Technology upgrade and digitalization program,Baytown Refinery,Requires high accuracy; consider upgrading to digital models.,Rahul Iyer
V00144,Kistler Instruments,Signal Conditioning,Filters,Framework agreement for multi-site supply,Baton Rouge Refinery,Critical for process safety; ensure regular calibration.,Rahul Iyer
V00145,Mettler-Toledo,Test & Measurement Equipment,Digital Multimeters,Technology upgrade and digitalization program,Whiting Refinery,Ensure compatibility with existing control system infrastructure.,Aisha Patel
V00146,Keysight Technologies,Test & Measurement Equipment,Function Generators,Long-term partnership with global supplier,Whiting Refinery,Part of plant modernization project; coordinate with engineering.,Carlos Fernandez
V00147,Mettler-Toledo,Pressure Instruments,Pressure Switches,Leveraging spend for volume discounts,Whiting Refinery,Requires high accuracy; consider upgrading to digital models.,Megan Chen
V00148,Kistler Instruments,Vibration Measurement Instruments,Vibration Sensors,Consignment stock and vendor-managed inventory,Whiting Refinery,Ensure compatibility with existing control system infrastructure.,Lena Müller
V00149,Yokogawa Corporation of America,Test & Measurement Equipment,Oscilloscopes,On-site vendor support and training,Baton Rouge Refinery,Part of plant modernization project; coordinate with engineering.,Aisha Patel
V00150,Kistler Instruments,Signal Conditioning,Signal Converters,Long-term partnership with global supplier,Martinez Refinery,Critical for process safety; ensure regular calibration.,Carlos Fernandez
V00151,Omega Engineering,Signal Conditioning,Filters,Standardization and bundling of similar items,Baton Rouge Refinery,Compliance with API and ASTM standards is mandatory.,Aisha Patel
V00152,ABB Ltd.,Level Instruments,Float Switches,Sustainability and green procurement focus,Whiting Refinery,High criticality; maintain redundancy and spare parts inventory.,Lena Müller
V00153,Endress+Hauser Group,Flow Instruments,Ultrasonic Flow Meters,Leveraging spend for volume discounts,Whiting Refinery,Part of plant modernization project; coordinate with engineering.,Rahul Iyer
V00154,ABB Ltd.,Test & Measurement Equipment,Oscilloscopes,Dual sourcing with local backup vendor,Martinez Refinery,Vendor to assist with installation and commissioning.,Carlos Fernandez
V00155,ABB Ltd.,Control Valves,Ball Valves,Leveraging spend for volume discounts,Whiting Refinery,Include remote monitoring capabilities and IoT integration.,Carlos Fernandez
V00156,Keysight Technologies,Analytical Instruments,Spectrophotometers,Standardization and bundling of similar items,Port Arthur Refinery,Requires high accuracy; consider upgrading to digital models.,Carlos Fernandez
V00157,Kistler Instruments,Safety Instruments,Gas Detectors,Risk mitigation through multi-year contracts,Port Arthur Refinery,Long lead times expected; maintain minimum stock levels.,Carlos Fernandez
V00158,Honeywell International,Signal Conditioning,Transmitters,Consignment stock and vendor-managed inventory,Whiting Refinery,Critical for process safety; ensure regular calibration.,Carlos Fernandez
V00159,KROHNE,Vibration Measurement Instruments,Vibration Analyzers,Technology upgrade and digitalization program,Martinez Refinery,High criticality; maintain redundancy and spare parts inventory.,Aisha Patel
V00160,National Instruments,Temperature Instruments,RTDs,Long-term partnership with global supplier,Port Arthur Refinery,Part of plant modernization project; coordinate with engineering.,Aisha Patel
V00161,Honeywell International,Level Instruments,Float Switches,On-site vendor support and training,Baytown Refinery,Long lead times expected; maintain minimum stock levels.,Rahul Iyer
V00162,Omega Engineering,Pressure Instruments,Pressure Switches,Risk mitigation through multi-year contracts,Baytown Refinery,Preference for suppliers with local service centers.,Carlos Fernandez
V00163,WIKA Instrument,Temperature Instruments,Infrared Sensors,Spend analysis and cost optimization,Baton Rouge Refinery,Ensure compatibility with existing control system infrastructure.,Aisha Patel
V00164,General Electric (GE),Test & Measurement Equipment,Oscilloscopes,Long-term partnership with global supplier,Whiting Refinery,Long lead times expected; maintain minimum stock levels.,Megan Chen
V00165,Rockwell Automation,Safety Instruments,Safety Valves,Spend analysis and cost optimization,Baytown Refinery,Maintain alignment with corporate purchasing agreements.,Aisha Patel
V00166,Omega Engineering,Signal Conditioning,Filters,Supplier development and collaboration,Baytown Refinery,Include remote monitoring capabilities and IoT integration.,Megan Chen
V00167,WIKA Instrument,Test & Measurement Equipment,Function Generators,Performance-based maintenance contract,Baton Rouge Refinery,Requires high accuracy; consider upgrading to digital models.,Carlos Fernandez
V00168,ABB Ltd.,Pressure Instruments,Pressure Switches,Long-term partnership with global supplier,Baytown Refinery,Include remote monitoring capabilities and IoT integration.,Megan Chen
